DATE,B230RC0A052NBEA
2000-01-01,282398
2001-01-01,285225
2002-01-01,287955
2003-01-01,290626
2004-01-01,293262
2005-01-01,295993
2006-01-01,298818
2007-01-01,301696
2008-01-01,304543
2009-01-01,307240
2010-01-01,309774.0
2011-01-01,312010.0
2012-01-01,314212.0
2013-01-01,316357.0
2014-01-01,318631.0
2015-01-01,320918.0
2016-01-01,323186.0
2017-01-01,325220.0
2018-01-01,326949.0
2019-01-01,328527.0
2020-01-01,330152.0
